"ID odgovora","Datum prosleđivanja","Poslednja strana","Početni jezik","Datum početka","Datum poslednje akcije","IP adresa","Molimo vas da označite svoj pol. []","Molimo Vas da označite svoju ulogu u današnjoj poseti veb-sajta Odseka. []","Koliko često posećujete veb-sajt Odseka za psihologiju? []","Koliko vremena provedete na veb-sajtu Odseka prilikom tipične posete? []","Kakav je vaš opšti utisak vezan za korišćenje veb-sajta Odseka za psihologiju? []","{if(is_empty(hidden), rand(1, 100), hidden)}","Molimo vas da ocenite različite aspekte korišćenja veb-sajta Odseka tako što ćete izraziti stepen slaganja sa nekoliko narednih tvrdnji.  Opšti izgled i dizajn veb-sajta je atraktivan []","Početna stranica veb-sajta mi daje jednosavan uvid u njegovu strukturu i logiku korišćenja. []","Uvek znam gde mogu da pronađem informaciju koju tražim. []","Bilo mi je lako da naučim kako da se krećem kroz veb-sajt. []","Informacije koje se nude na veb-sajtu su korisne, potpune i jasne. []","Jezik/terminologija koji se koristi u sadržaju su laki za čitanje i razumevanje. []","Opis ponuđen na stranicama izbornih kurseva mi je veoma koristan prilikom odabira predmeta. []","U odeljku Aktuelnosti i vesti pronalazim korisne informacije. []","Informacije koje se nude na veb-sajtu se redovno ažuriraju. []","Lako i brzo mogu da rezervišem termin za eksperimente. []","Mislim da budući studenti Odseka mogu lako da nauče kako da koriste veb-sajt. []","Zadovoljan sam brzinom učitavanja stranica veb-sajta. []","Veb-sajtu češće pristupam sa mobilnih uređaja nego sa računara. []","Molimo vas da ocenite različite aspekte korišćenja veb-sajta Odseka tako što ćete izraziti stepen slaganja sa nekoliko narednih tvrdnji.  Početna stranica veb-sajta mi daje jednosavan uvid u njegovu strukturu i logiku korišćenja. []","Mislim da budući studenti Odseka mogu lako da nauče kako da koriste veb-sajt. []","Bilo mi je lako da naučim kako da se krećem kroz veb-sajt. []","Opšti izgled i dizajn veb-sajta je atraktivan. []","Informacije koje se nude na veb-sajtu su korisne, potpune i jasne. []","Informacije koje se nude na veb-sajtu se redovno ažuriraju. []","Veb-sajtu češće pristupam sa mobilnih uređaja nego sa računara. []","Opis ponuđen na stranicama izbornih kurseva mi je veoma koristan prilikom odabira predmeta. []","Uvek znam gde mogu da pronađem informaciju koju tražim. []","U odeljku Aktuelnosti i vesti pronalazim korisne informacije. []","Lako i brzo mogu da rezervišem termin za eksperimente. []","Jezik/terminologija koji se koristi u sadržaju su laki za čitanje i razumevanje. []","Zadovoljan sam brzinom učitavanja stranica veb-sajta. []","Da li ste naišli na neki problem ili ste imali negativno iskustvo prilikom korišćenja veb-sajta? Ako jeste, koje?","Koju vrstu informacija bi, po vašem mišljenu, trebalo dodati na veb-sajt?","Da li imate neke konkretne sugestije za poboljšanje veb-sajta Odseka za psihologiju?","Da li ste naišli na neki problem ili ste imali negativno iskustvo prilikom korišćenja veb-sajta? Ako jeste, koje?","Koju vrstu informacija bi, po vašem mišljenu, trebalo dodati na veb-sajt?","Da li imate neke konkretne sugestije za poboljšanje veb-sajta Odseka za psihologiju?","Ukupno vreme","Vreme grupe: Molim Vas odgovorite na sledeća pitanja","Vreme pitanja: DemografskePol","Vreme pitanja: Demografske","Vreme pitanja: zaAnalytics1","Vreme pitanja: vreme","Vreme pitanja: zaAnalzticsMozda","Vreme pitanja: hidden","Vreme grupe: Molim Vas obeležite stepen slaganja na sledeća pitanja.","Vreme pitanja: b","Vreme pitanja: b2","Vreme pitanja: b3","Vreme pitanja: b4","Vreme pitanja: b5","Vreme pitanja: b6","Vreme pitanja: b7","Vreme pitanja: b8","Vreme pitanja: b9","Vreme pitanja: b10","Vreme pitanja: b11","Vreme pitanja: b12","Vreme pitanja: b13","Vreme grupe: Molim Vas obeležite stepen slaganja na sledeća pitanja.","Vreme pitanja: b2","Vreme pitanja: b11","Vreme pitanja: b4","Vreme pitanja: b","Vreme pitanja: b5","Vreme pitanja: b9","Vreme pitanja: b13","Vreme pitanja: b7","Vreme pitanja: b3","Vreme pitanja: b8","Vreme pitanja: b10","Vreme pitanja: b6","Vreme pitanja: b12","Vreme grupe: Molim Vas napišite Vaš odgovor na sledeća pitanja.","Vreme pitanja: textboxPrvi","Vreme pitanja: textboxDrugi","Vreme pitanja: textboxTreci","Vreme pitanja: textboxPrvimali","Vreme pitanja: textboxDrugimali","Vreme pitanja: textboxTrecimali"
"189","","30","sr-Latn","2019-10-09 23:02:27","2019-10-09 23:04:18","77.243.25.165","Ženski","Student Odseka","Barem jednom nedeljno","Između 15 i 30 minuta","Uglavnom pozitivan","59","","","","","","","","","","","","","","Uglavnom se slažem","Uglavnom se slažem","Uglavnom se slažem","Neodlučan/na sam","Uglavnom se slažem","Uglavnom se slažem","Uglavnom se ne slažem","Uglavnom se slažem","Uglavnom se slažem","Uglavnom se slažem","Neodlučan/na sam","","","","","","","","","120.9","","4","7.27","7.5","5.67","6.79","","","","","","","","","","","","","","","","","12.43","6.74","5.63","4.94","6.76","4.29","7.91","6.93","14.6","11.92","7.52","","","","","","","","",""
"191","","33","sr-Latn","2019-10-13 18:26:11","2019-10-13 18:28:17","46.40.48.250","Muški","Drugo","Ovo mi je prvi put","Manje od 5 minuta","Neutralan","68","","","","","","","","","","","","","","Neodlučan/na sam","Neodlučan/na sam","Neodlučan/na sam","Uopšte se ne slažem","Neodlučan/na sam","Neodlučan/na sam","Nedolučan/na sam","Neodlučan/na sam","Neodlučan/na sam","Neodlučan/na sam","Neodlučan/na sam","Neodlučan/na sam","uglavnom se slažem","Ne
","","","","","","133.9","","2.8","11.13","6.4","15.29","7.1","","","","","","","","","","","","","","","","","15.72","7.47","5.31","5.02","11.12","9.65","11.72","2.88","2.3","1.36","1.37","1.32","3.75","","12.19","","","","",""
"192","2019-10-13 22:44:10","38","sr-Latn","2019-10-13 22:40:56","2019-10-13 22:44:10","87.116.180.69","Ženski","Student Odseka","Barem jednom nedeljno","Između 15 i 30 minuta","Uglavnom pozitivan","59","","","","","","","","","","","","","","Uglavnom se slažem","Uglavnom se slažem","Uglavnom se slažem","Potpuno se slažem","Potpuno se slažem","Potpuno se slažem","Potpuno se slažem","Neodlučan/na sam","Uglavnom se slažem","Potpuno se slažem","Potpuno se slažem","Potpuno se slažem","Potpuno se slažem","","","","","","","203.13","","2.36","6.47","10.24","6.32","8.19","","","","","","","","","","","","","","","","","70.47","16.28","3.88","7.52","5.76","4.66","4.17","17.45","6.04","6.04","5.08","3.61","4.65","","5.14","3.7","5.1","","",""
"193","","0","sr-Latn","2019-10-13 22:44:25","2019-10-13 22:44:25","87.116.180.69","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","23.13","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","23.13","","","",""
"194","2019-10-14 13:52:31","38","sr-Latn","2019-10-14 13:50:18","2019-10-14 13:52:31","91.150.111.3","Ženski","Budući student Odseka","Nekoliko puta mesečno","Duže od 30 minuta","Uglavnom pozitivan","52","","","","","","","","","","","","","","Uglavnom se slažem","Uglavnom se slažem","Uglavnom se slažem","Potpuno se slažem","Uglavnom se slažem","Uglavnom se slažem","Uopšte se ne slažem","Uglavnom se slažem","Neodlučan/na sam","Neodlučan/na sam","Neodlučan/na sam","Uglavnom se slažem","uglavnom se slažem","","","","","","","144.46","","4.82","9.18","6.73","8.44","6.45","","","","","","","","","","","","","","","","","10.79","16.5","5.93","6.02","4.46","4.15","6.05","6.95","7.88","7.2","5.62","6.72","4.2","","5.21","6.78","4.38","","",""
"195","2019-10-15 11:20:01","38","sr-Latn","2019-10-15 11:18:13","2019-10-15 11:20:01","147.91.172.81","Muški","Drugo","Nekoliko puta u semestru","Između 5 i 15 minuta","Neutralan","54","","","","","","","","","","","","","","Uglavnom se slažem","Uglavnom se slažem","Uglavnom se slažem","Uglavnom se ne slažem","Uglavnom se slažem","Uglavnom se ne slažem","Uglavnom se slažem","Uglavnom se slažem","Uglavnom se slažem","Uglavnom se slažem","Uglavnom se slažem","Uglavnom se slažem","uglavnom se slažem","","","","","","","117.43","","5.25","6.87","8.2","8.67","6.86","","","","","","","","","","","","","","","","","12.15","5.99","3.89","5.29","4.2","4.57","4.72","6.71","4.14","3.58","9.36","6.21","2.27","","4.17","2.72","1.61","","",""
"196","","17","sr-Latn","2019-10-16 20:48:33","2019-10-16 20:50:33","77.243.25.177","Muški","Student Odseka","Barem jednom nedeljno","Između 15 i 30 minuta","Uglavnom pozitivan","29","Uglavnom se ne slažem","Potpuno se slažem","Potpuno se slažem","Potpuno se slažem","Uglavnom se slažem","Uglavnom se slažem","Neodlučan/na sam","Potpuno se slažem","Uglavnom se slažem","Neodlučan/na sam","Uglavnom se slažem","","","","","","","","","","","","","","","","","","","","","","128.63","","3.76","14.06","9.23","8.54","13.33","","","8.93","13.85","4.62","3.7","4.4","4.33","11.1","5.88","5.2","12.28","5.42","","","","","","","","","","","","","","","","","","","","","","",""
"197","2019-10-17 07:28:35","38","sr-Latn","2019-10-17 07:26:24","2019-10-17 07:28:35","178.223.83.196","Ženski","Student Odseka","Nekoliko puta mesečno","Manje od 5 minuta","Uglavnom pozitivan","66","","","","","","","","","","","","","","Uglavnom se slažem","Uglavnom se slažem","Uglavnom se slažem","Uglavnom se slažem","Uglavnom se slažem","Uglavnom se slažem","Nedolučan/na sam","Uglavnom se ne slažem","Uglavnom se slažem","Neodlučan/na sam","Neodlučan/na sam","Uglavnom se slažem","uglavnom se slažem","","","","","","","142.14","","2.59","11.25","6.93","6.53","6.09","","","","","","","","","","","","","","","","","13.24","7.33","4.39","3.54","6.09","12.95","4.21","11.34","5.74","6.3","11.63","6.91","3.64","","4.82","4.18","2.44","","",""
"198","","4","sr-Latn","2019-10-17 09:55:32","2019-10-17 09:55:55","82.117.211.182","Ženski","Drugo","Nekoliko puta u semestru","Između 5 i 15 minuta","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","26.32","","3.52","9.84","7","5.96","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"199","2019-10-17 14:10:45","38","sr-Latn","2019-10-17 14:08:43","2019-10-17 14:10:45","147.91.172.81","Ženski","Student Odseka","Barem jednom nedeljno","Između 5 i 15 minuta","Veoma pozitivan","95","","","","","","","","","","","","","","Potpuno se slažem","Potpuno se slažem","Potpuno se slažem","Uglavnom se slažem","Potpuno se slažem","Potpuno se slažem","Nedolučan/na sam","Uglavnom se slažem","Uglavnom se slažem","Neodlučan/na sam","Neodlučan/na sam","Potpuno se slažem","Potpuno se slažem","","","","","","","131.22","","2.41","10.46","7.38","6.03","6.58","","","","","","","","","","","","","","","","","12.58","5.36","4.07","4.83","5.61","5.07","9.05","8.88","5.96","5.67","12.97","4.43","4.22","","3.14","3.56","2.96","","",""
"200","2019-10-18 10:24:57","38","sr-Latn","2019-10-18 10:19:28","2019-10-18 10:24:57","109.93.195.110","Ženski","Student Odseka","Barem jednom nedeljno","Između 5 i 15 minuta","Uglavnom pozitivan","46","Uglavnom se slažem","Uglavnom se slažem","Uglavnom se ne slažem","Uglavanom se ne slažem","Uglavnom se slažem","Uglavnom se slažem","Uglavnom se slažem","Ugalvnom se ne slažem","Uglavnom se ne slažem","Neodlučan/na sam","Uglavnom se ne slažem","uglavnom se slažem","Uglavnom se slažem","","","","","","","","","","","","","","","","","Nisam, samo je na početku bio konfuzan za snalaženje. ","Moglo bi se dodati vreme upisa u novu školaku godinu. ","Nemam. Što je do sajta mislim da odlično radi.","339.02","","2.69","3.49","7.98","5.14","6.51","","","13.23","5.2","7.58","3.75","21.77","3.45","6.01","5.58","5.75","6.91","5.04","2.91","26.13","","","","","","","","","","","","","","","","","","","51.91","120.62","27.37"
"201","","25","sr-Latn","2019-10-27 11:08:04","2019-10-27 11:09:01","87.116.191.4","Ženski","Student Odseka","Barem jednom nedeljno","Između 5 i 15 minuta","Uglavnom pozitivan","79","","","","","","","","","","","","","","Uglavnom se slažem","Uglavnom se slažem","Uglavnom se slažem","Uglavnom se slažem","Neodlučan/na sam","Neodlučan/na sam","","","","","","","","","","","","","","62.6","","3.2","3.86","13.96","6.81","6.43","","","","","","","","","","","","","","","","","11.18","3.86","3.63","2.6","4.02","3.05","","","","","","","","","","","","","",""
"202","2019-10-30 22:38:47","38","sr-Latn","2019-10-30 22:37:15","2019-10-30 22:38:47","188.2.40.255","Ženski","Student Odseka","Barem jednom nedeljno","Između 5 i 15 minuta","Uglavnom pozitivan","82","","","","","","","","","","","","","","Potpuno se slažem","Potpuno se slažem","Potpuno se slažem","Uglavnom se slažem","Potpuno se slažem","Potpuno se slažem","Potpuno se slažem","Potpuno se slažem","Potpuno se slažem","Potpuno se slažem","Potpuno se slažem","Potpuno se slažem","Potpuno se slažem","","","","","","","100.39","","11.52","8.19","11.01","6.07","10.34","","","","","","","","","","","","","","","","","8.47","5.31","2.09","4.07","4.26","2.69","4.41","6.08","2.37","3.27","1.53","2.27","1.09","","3.09","1.18","1.08","","",""
"203","","0","sr-Latn","2019-11-01 10:09:58","2019-11-01 10:10:07","77.105.2.124","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","9.37","","9.37","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"204","","19","sr-Latn","2019-11-01 16:55:47","2019-11-01 16:56:45","77.243.25.105","Ženski","Student Odseka","Barem jednom nedeljno","Između 5 i 15 minuta","Uglavnom pozitivan","79","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","61.55","","2.97","10.16","9.83","15.47","11.39","","","","","","","","","","","","","","","","","11.73","","","","","","","","","","","","","","","","","","",""
"205","","20","sr-Latn","2019-11-01 19:01:50","2019-11-01 19:02:22","188.2.71.144","Muški","Budući student Odseka","Ovo mi je prvi put","Manje od 5 minuta","Uglavnom pozitivan","84","","","","","","","","","","","","","","Uglavnom se slažem","","","","","","","","","","","","","","","","","","","33.88","","1.97","6.08","3.85","4.35","12.07","","","","","","","","","","","","","","","","","5.56","","","","","","","","","","","","","","","","","","",""
"206","","2","sr-Latn","2019-11-03 14:25:12","2019-11-03 14:25:28","87.116.183.243","Ženski","Student Odseka","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","18.26","","2.02","16.24","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"208","","6","sr-Latn","2019-11-03 23:38:28","2019-11-03 23:39:06","77.46.227.230","Ženski","Drugo","Ovo mi je prvi put","Između 5 i 15 minuta","Uglavnom pozitivan","44","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","41.52","","3.01","13.71","4.93","9.06","6.97","","","3.84","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"209","2019-11-07 17:13:25","38","sr-Latn","2019-11-07 17:10:50","2019-11-07 17:13:25","80.74.171.215","Ženski","Student Odseka","Nekoliko puta mesečno","Između 5 i 15 minuta","Veoma pozitivan","25","Neodlučan/na sam","Uglavnom se slažem","Uglavnom se slažem","Uglavnom se slažem","Potpuno se slažem","Potpuno se slažem","Potpuno se slažem","Potpuno se slažem","Potpuno se slažem","Neodlučan/na sam","Potpuno se slažem","uglavnom se slažem","Nedolučan/na sam","","","","","","","","","","","","","","","","","","","","163.54","","3.39","13.32","7","7","6.2","","","13.7","7.59","9.39","6.89","5.1","4.25","9.08","6.71","24.29","7.76","4.71","6.27","7.6","","","","","","","","","","","","","","","","","","","6.12","3.44","3.73"
"211","","0","sr-Latn","2019-11-07 17:13:46","2019-11-07 17:13:46","80.74.171.215","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","27.2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","27.2",""
"212","2019-11-13 21:12:15","38","sr-Latn","2019-11-13 21:10:10","2019-11-13 21:12:15","77.105.13.180","Ženski","Student Odseka","Barem jednom nedeljno","Između 5 i 15 minuta","Uglavnom pozitivan","30","Uglavnom se slažem","Uglavnom se slažem","Neodlučan/na sam","Neodlučan/na sam","Uglavnom se slažem","Potpuno se slažem","Neodlučan/na sam","Uglavnom se slažem","Uglavnom se slažem","Potpuno se slažem","Uglavnom se slažem","Potpuno se slažem","Uglavnom se ne slažem","","","","","","","","","","","","","","","","","","","","133.96","","6.69","10.94","6.51","10.33","6.21","","","8.8","12.58","7.52","7.54","5.09","3.5","8.27","5.25","4.44","4.13","3.42","4.37","7.62","","","","","","","","","","","","","","","","","","","5.35","2.92","2.48"
"213","2019-11-14 16:26:33","38","sr-Latn","2019-11-14 16:23:47","2019-11-14 16:26:33","188.2.18.144","Ženski","Student Odseka","Barem jednom nedeljno","Manje od 5 minuta","Uglavnom pozitivan","40","Uglavnom se slažem","Neodlučan/na sam","Uglavnom se slažem","Uglavnom se slažem","Potpuno se slažem","Potpuno se slažem","Uglavnom se slažem","Uglavnom se slažem","Uglavnom se slažem","Potpuno se slažem","Uglavnom se slažem","Potpuno se slažem","Potpuno se slažem","","","","","","","","","","","","","","","","","","","","174.49","","3.21","20.53","11.56","8.24","8.04","","","12.97","12.3","6.62","8.98","5.2","7.46","12.97","9.21","10.93","4.4","6.61","6.19","4.82","","","","","","","","","","","","","","","","","","","7","3.48","3.77"
"214","","0","sr-Latn","2019-11-14 16:26:37","2019-11-14 16:26:37","188.2.18.144","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","7.88","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","7.88"
"215","2019-11-14 17:08:41","38","sr-Latn","2019-11-14 17:06:38","2019-11-14 17:08:41","37.19.109.182","Ženski","Student Odseka","Barem jednom nedeljno","Između 5 i 15 minuta","Veoma pozitivan","82","","","","","","","","","","","","","","Uglavnom se slažem","Potpuno se slažem","Potpuno se slažem","Potpuno se slažem","Potpuno se slažem","Potpuno se slažem","Potpuno se slažem","Uglavnom se slažem","Potpuno se slažem","Potpuno se slažem","Potpuno se slažem","Potpuno se slažem","Potpuno se slažem","","","","","","","134.91","","13.86","9.8","7.51","7.69","6.9","","","","","","","","","","","","","","","","","14.88","5.29","5.23","3.52","4.19","5.83","4.24","10.71","3.83","4.93","5","3.75","3.55","","6.41","4.17","3.62","","",""
"216","","19","sr-Latn","2019-11-16 22:31:22","2019-11-16 22:32:28","37.19.105.27","Muški","Nastavnik Odseka","Barem jednom nedeljno","Manje od 5 minuta","Neutralan","95","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","69.79","","10.62","16.07","16.06","16.61","10.43","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"217","2019-11-17 22:02:22","38","sr-Latn","2019-11-17 21:59:13","2019-11-17 22:02:22","87.116.181.40","Ženski","Drugo","Barem jednom nedeljno","Između 15 i 30 minuta","Veoma pozitivan","70","","","","","","","","","","","","","","Uglavnom se slažem","Uglavnom se ne slažem","Uglavnom se slažem","Uglavnom se slažem","Uglavnom se slažem","Uglavnom se slažem","Uglavnom se ne slažem","Uglavnom se slažem","Uglavnom se ne slažem","Uglavnom se slažem","Uglavnom se slažem","Uglavnom se slažem","uglavnom se slažem","Neki od kurseva koji su ponudjeni u okviru doktorskih studija ne sadrze dovoljno informacija i citalac nije siguran gde da potrazi informacije o tom predmetu, posto na nekima od njih ne stoji ime porfesora.","Ovo sto sam napisala u prethodnom komentaru.","Vedrije boje.","","","","199.71","","2.76","6.36","7.26","13.14","3.89","","","","","","","","","","","","","","","","","12.1","4.68","5.6","4.78","5.62","6.44","4.33","4.76","3.91","4.55","4.96","2.18","2.27","","51.54","30.95","17.63","","",""
"218","2019-11-19 11:08:47","38","sr-Latn","2019-11-19 11:05:21","2019-11-19 11:08:47","77.243.25.231","Ženski","Student Odseka","Nekoliko puta u semestru","Između 5 i 15 minuta","Uglavnom pozitivan","1","Uglavnom se slažem","Neodlučan/na sam","Uglavnom se slažem","Potpuno se slažem","Neodlučan/na sam","Potpuno se slažem","Uglavnom se ne slažem","Ugalvnom se ne slažem","Neodlučan/na sam","Neodlučan/na sam","Potpuno se slažem","uglavnom se slažem","Uglavnom se ne slažem","","","","","","","","","","","","","","","","","","Informacije o razmeni studenata, stipendijama, letnjim školama u zemlji i inostranstvu","","219.38","","6.47","12.5","14.4","8.77","7.83","","","12.28","6.97","5.49","4.82","5.13","6.77","11.28","10.3","6.02","5.66","5.13","4.87","7.1","","","","","","","","","","","","","","","","","","","7.12","49.96","20.51"
"219","","36","sr-Latn","2019-11-22 22:23:08","2019-11-22 22:25:03","92.42.253.143","Ženski","Student Odseka","Nekoliko puta mesečno","Između 5 i 15 minuta","Veoma pozitivan","36","Potpuno se slažem","Potpuno se slažem","Potpuno se slažem","Potpuno se slažem","Potpuno se slažem","Potpuno se slažem","Uglavnom se slažem","Uglavnom se slažem","Uglavnom se slažem","Uglavnom se slažem","Potpuno se slažem","Potpuno se slažem","Potpuno se slažem","","","","","","","","","","","","","","","","","","","","123.53","","4.53","6.17","6.27","7.67","6.22","","","10.12","6.45","3.54","4.63","5.71","3.78","7.38","4.38","13.42","8.71","4.69","5.4","4.12","","","","","","","","","","","","","","","","","","","10.34","",""
"220","","2","sr-Latn","2019-11-24 17:29:58","2019-11-24 17:31:26","93.87.123.1","Muški","Student Odseka","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","90.45","","40.85","20.23","29.37","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"221","","0","sr-Latn","2019-11-24 18:20:34","2019-11-24 18:21:04","109.245.34.31","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","30.13","","30.13","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"222","","29","sr-Latn","2019-11-24 18:25:41","2019-11-24 18:28:56","79.101.135.68","Muški","Drugo","Nekoliko puta mesečno","Između 5 i 15 minuta","Uglavnom pozitivan","66","","","","","","","","","","","","","","Uglavnom se slažem","Potpuno se slažem","Potpuno se slažem","Uglavnom se slažem","Uglavnom se slažem","Uglavnom se slažem","Uglavnom se ne slažem","Neodlučan/na sam","Potpuno se slažem","Uglavnom se slažem","","","","","","","","","","208.21","","8.82","15.65","32.52","14.41","9.96","","","","","","","","","","","","","","","","","16.85","14.54","8.72","8.51","9.39","6.9","16.42","26.07","7.14","10.46","1.85","","","","","","","","",""
"223","","19","sr-Latn","2019-11-26 19:56:53","2019-11-26 19:57:50","109.245.33.114","Ženski","Student Odseka","Nekoliko puta u semestru","Manje od 5 minuta","Neutralan","87","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","61.25","","11.63","5.62","2.96","28.42","12.62","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"224","2019-11-30 12:23:10","38","sr-Latn","2019-11-30 12:14:28","2019-11-30 12:23:10","188.2.19.165","Ženski","Student Odseka","Barem jednom nedeljno","Manje od 5 minuta","Uglavnom pozitivan","60","","","","","","","","","","","","","","Potpuno se slažem","Potpuno se slažem","Potpuno se slažem","Potpuno se slažem","Uglavnom se ne slažem","Uglavnom se ne slažem","Potpuno se slažem","Uopšte se ne slažem","Neodlučan/na sam","Uglavnom se slažem","Potpuno se slažem","Potpuno se slažem","Potpuno se slažem","Na sajtu nisu nabrojani svi izborni predmeti koji su u opticaju, tako da su nam, pri izboru predmeta, za neke od njih dostupni samo sami nazivi. Dok, kod velikog broja onih koji jesu nabrojani sam opis, sadržaj i uslovi/zahtevi kursa nisu ažurirani.
Ovo sve otežava korektan izbor predmeta sa kojim će student biti zadovoljan, pogotovo ukoliko prijavljuje izborne za 'sledeći' semestar, pa nema ni priliku da poseti prva predavanja samih predmeta i proceni da li je to ustvari 'ono što je zamislio' i što ga zanima.","Implicirano u sklopu prethodnog odgovora","","","","","534.46","","13.52","4.53","6.63","6.86","6.07","","","","","","","","","","","","","","","","","17.26","5.55","3.19","2.71","7.98","2.76","3.96","6.92","6.94","5.77","6.08","4.07","2.45","","394.87","22.36","3.98","","",""
"225","2019-12-01 21:09:34","38","sr-Latn","2019-12-01 21:07:30","2019-12-01 21:09:34","188.155.116.206","Ženski","Student Odseka","Barem jednom nedeljno","Između 5 i 15 minuta","Veoma pozitivan","51","","","","","","","","","","","","","","Potpuno se slažem","Potpuno se slažem","Potpuno se slažem","Potpuno se slažem","Potpuno se slažem","Potpuno se slažem","Potpuno se slažem","Potpuno se slažem","Potpuno se slažem","Potpuno se slažem","Potpuno se slažem","Potpuno se slažem","Potpuno se slažem","","Raspored ispita","","","","","132.41","","7.24","3.44","7.39","4.42","3.93","","","","","","","","","","","","","","","","","5.05","3.08","2.46","2.52","3.25","3.07","3.55","5.15","2.2","4.55","4.97","2.75","3.06","","8.23","48.24","3.86","","",""
"226","2019-12-03 20:43:52","38","sr-Latn","2019-12-03 20:38:58","2019-12-03 20:43:52","147.91.172.81","Ženski","Student Odseka","Barem jednom nedeljno","Između 5 i 15 minuta","Uglavnom pozitivan","96","","","","","","","","","","","","","","Uglavnom se slažem","Uglavnom se slažem","Potpuno se slažem","Neodlučan/na sam","Uglavnom se slažem","Neodlučan/na sam","Potpuno se slažem","Uglavnom se ne slažem","Uglavnom se slažem","Uglavnom se slažem","Uglavnom se slažem","Potpuno se slažem","Potpuno se slažem","Nisam","","","","","","305.06","","2.48","5.27","6.81","132.24","3.69","","","","","","","","","","","","","","","","","8.21","80.96","6.11","4.21","2.96","4.57","7.44","4.31","5.32","4.17","5.08","3.66","3.33","","6.78","4.65","2.81","","",""
"227","2019-12-05 10:53:31","38","sr-Latn","2019-12-05 10:37:57","2019-12-05 10:53:31","147.91.172.81","Ženski","Student Odseka","Barem jednom nedeljno","Manje od 5 minuta","Uglavnom pozitivan","86","","","","","","","","","","","","","","Potpuno se slažem","Potpuno se slažem","Potpuno se slažem","Uglavnom se slažem","Neodlučan/na sam","Uglavnom se slažem","Potpuno se slažem","Uopšte se ne slažem","Potpuno se slažem","Potpuno se slažem","Potpuno se slažem","Potpuno se slažem","Potpuno se slažem","","","","","","","940.86","","3.26","6.19","6.25","7.09","851.24","","","","","","","","","","","","","","","","","6.3","3.01","2.09","12.08","3.75","3.31","4.35","10.18","3.48","3.86","2.49","3.99","1.26","","2.12","2.55","2.01","","",""
"228","2019-12-05 22:02:49","38","sr-Latn","2019-12-05 22:00:42","2019-12-05 22:02:49","188.2.14.36","Ženski","Student Odseka","Barem jednom nedeljno","Između 5 i 15 minuta","Uglavnom pozitivan","73","","","","","","","","","","","","","","Uglavnom se slažem","Potpuno se slažem","Potpuno se slažem","Neodlučan/na sam","Potpuno se slažem","Potpuno se slažem","Uglavnom se slažem","Potpuno se slažem","Uglavnom se slažem","Uglavnom se slažem","Potpuno se slažem","Potpuno se slažem","Potpuno se slažem","","","","","","","140.41","","3.04","3.42","7.39","5.52","5.68","","","","","","","","","","","","","","","","","16.57","8.12","4.44","4.6","5.8","4.59","5.95","9.77","5.31","5.77","16.92","6.67","3.81","","6.71","5.35","4.98","","",""
"229","2019-12-06 22:19:08","38","sr-Latn","2019-12-06 22:16:50","2019-12-06 22:19:08","93.87.60.186","Ženski","Student Odseka","Barem jednom nedeljno","Između 15 i 30 minuta","Uglavnom pozitivan","43","Potpuno se slažem","Potpuno se slažem","Potpuno se slažem","Potpuno se slažem","Uglavnom se slažem","Potpuno se slažem","Neodlučan/na sam","Neodlučan/na sam","Uglavnom se slažem","Neodlučan/na sam","Uglavnom se slažem","Potpuno se slažem","Uglavnom se slažem","","","","","","","","","","","","","","","","","","","","148.7","","9.36","5.95","12.92","11.93","7.15","","","7.73","7.16","4.25","4.83","5.41","10.78","10.41","7.3","6.06","5.75","6.06","8.36","5.69","","","","","","","","","","","","","","","","","","","3.79","5.01","2.8"
